Month,Calendar Year,Fiscal Year,Withholding,Income Tax Estimates & Finals,Sales and Use,Business Use,Room Occupancy,Electric Generation,Business Entity,Corporation Business,Pass-Through Entity,Unrelated Business Income,"Cable, Satellite and Video",PEG Account,Electric & Power,Gas & Electric,Railroads,Estate & Gift,Insurance Premiums Domestic,Insurance Premiums Foreign,Health Care Centers,Nonadmitted / Unauthorized / Captive Insurers,Alcoholic Beverages,Cigarette Tax,Electronic Cigarette Products,Tobacco Products,Cannabis Tax,Controlling Interest Transfer,Real Estate Conveyance,Petroleum Gross Earnings,Admissions & Dues,Admissions & Dues and TNC Fee,Dry Cleaners,Occupational Tax,Rental Surcharge,Solid Waste,Tourism Surcharge,Controlled Substances,Prepaid Wireless E-9-1-1 Fee,Paid Preparer Fee,Repealed Taxes,Nursing Home User Fee,Hospitals,Intermediate Care Facility,Ambulatory Surgical Centers,Gasoline,Special Fuel,Motor Carrier,Highway Use Fee,Licenses,Beverage Container Deposits,Total Revenue
August,2013,FY 2013-14,302705759.73,26300552.44,207101538.95,3300589.9,7332222,1750360,629968.39,17422835.28,,28276.75,3375825.81,127718.25,975.3,271877.85,0,18801852.95,93074,2026843.51,0,715821.91,3072342.15,31147227.06,,1183454.41,,4770.8,11408482.74,640948.67,2741572.82,,64016,117441.18,0,81130.81,474879.36,3580.78,128602.25,,90046.82,1650378.11,459,433580,,30835519.3,11543123.09,735948.8,,128849.95,88141.55,688560588.67
September,2013,FY 2013-14,364883174.07,400859291.66,381450261.92,3362269.07,12017748.62,0,1063383.75,81316312.95,,1062809.08,63.27,0,0,61050.42,70.6,6599775.49,8697527.82,25613684.39,1123178,2085.4,5837569.08,32489625.17,,1202672.89,,113304,14878569.16,26356.85,2420327.1,,4713.71,105135.62,0,0,463270.22,1780.71,176724.4,,39017.45,257060.81,0,459095,,31075286.71,12037387.96,2606842.11,,368355,11780.79,1392687561.25
November,2013,FY 2013-14,402066995.92,47535700.73,273436567.8,9423655.48,7812956.63,4653,1209055.91,62386110.19,,302010.64,2150866.72,131390.21,651544.68,766180.02,24130.42,15591972.67,156520.84,2088777.75,0,810986.43,3098400.77,29746343.82,,1175009.51,,452738.56,14190890.96,7833946.14,2402778.28,,44943.84,275102.15,0,6743.67,440419.5,1560.9,124655.63,,593863.51,6502969.65,25746434,449949.59,,31150807.21,11915962.33,472843.2,,255755.81,420477.5,963852672.57
December,2013,FY 2013-14,487599743.6,290538347.43,413629290.18,3597106.38,10828696.36,0,346204.11,115700317.98,,605162.44,44992.36,291.67,0,15603.13,51.4,8538576.85,8401846.92,23843728.73,2048922,131194.52,9047188.28,32377188.14,,975158.57,,179475.2,13626832.34,870546.47,3438530.15,,3374.1,2471079.64,0,598.6,337225.98,2080.46,183892.45,,73568.6,312824.59,1013975,439385,,29952868.98,11059369.4,2327665.95,,179634,132933.88,1474875471.84
October,2013,FY 2013-14,424503039.59,117351435.23,343993016.36,6370109.66,9595941.18,13560165,771303.27,72701918.15,,35444.96,14354973.05,724383.86,50647865.61,6854787.07,0,32048975.23,0,546016.78,0,195701.86,4922985.37,31296425.13,,1137351.06,,1076004.59,18907904.52,102227534.74,2645306.37,,118330.33,85013.01,0,887634.63,437521.3,1935.49,171232.11,,-466306.16,31529108.26,60635178,1465894.93,,29182187.4,11100544.13,1481224.34,,174702.43,7145193.1,1400417981.94
January,2014,FY 2013-14,553937825.82,566120815.91,394930569.62,7221459.16,6956649.42,,672381.75,20728746.15,,21532.93,17392286.5,1559747.9,35036497.01,13057550.35,70.4,19338160.26,190714.32,846170.77,0,1113819.79,5105660.53,28093439.99,,976308.65,,201158.57,12153541.3,91949299.47,3508611.21,,113902.49,4795291.5,12595.81,828598.13,422292,1641.56,179980.49,,119375.98,30124480.31,82659767,1477969,,29909944.27,10718444,1686328.01,,155870.89,4481931.75,1948801430.97
February,2014,FY 2013-14,497056295.29,27203447.8,285426269.18,4704425.59,6168808.37,,568398.3,11684315.76,,1186626.06,199.27,131808,0,309448.66,0,14107477.04,7840811,18793201.57,500000,810678.99,3610651.27,24163732.34,,938807.3,,296380.74,8494193.43,8269259.85,4566963.18,,42781.09,292919.79,259782.44,4403,386578.1,7770.86,162893.43,,29333.56,7795399.01,1213113,454529,,27232947.37,10927121.62,404697.99,,111170.08,200184.61,976357823.94
March,2014,FY 2013-14,567379258.32,103487123.72,262744425.48,3749850.17,6656749.48,,1258662.37,145030057.89,,203069.98,727147,-727147,0,0,20,7154303.75,13646217.87,39602743.3,2402721,256051.3,4862543.67,27711223.17,,864472.26,,1248407.8,10645480.02,110260.36,3394737.42,,4956.01,143248.27,946,0,320594.42,3635.03,153019.94,,60524.95,1123392.92,400000,405970,,25125052.8,9475928.62,2935117.15,,147965.48,132.8,1242708863.72
April,2014,FY 2013-14,429717215.45,1244574405.37,326592654.07,5787401.75,7731187.36,,1058824.83,45889990.21,,87089.34,14675955,1191335,42828418.14,23161841.91,0,17799403.66,-110839.8,1634208.37,16177.93,275045.26,4710776.08,27180526.57,,887996.84,,574714,12719010.13,94926871.41,3755471.58,,76576.12,131216.43,0,794239.97,415515.5,4262.88,170413.31,,25862.69,27206480.34,78072687,1429266,,30223152.19,10880055.71,1370913.36,,145335.5,5263893.67,2463875551.13
May,2014,FY 2013-14,445743564.85,42309039.21,249653368.84,5172576.27,7630653.49,,372568.43,1231795.82,,658502.87,-68370.87,305476,436852,1576794.38,0,11160625.12,1088329.06,2211160.31,0,469673.28,2328278.58,29950434,,998073.65,,110851.54,12498469.72,5712378.82,3035281.39,,64002.02,53746.26,0,-320,392279.73,3966.45,141006.89,,129833.08,7788397.51,407885,20588,,29030562.17,11022217.16,990562.34,,142411.02,151088.56,874924602.95
June Final,2014,FY 2013-14,951012984.13,428410118.36,797838474,11144418.18,22930883.44,,281618.48,194409251.5,,506345.1,10921000,0,41934000,14478433.61,20,9423786.72,12413179.52,38323938.16,2385435,6235,14089380.91,55134884.6,,961934.28,,3998424.61,42673063.65,103542254.4,3520059.42,,11827.55,45025.08,1610,0,442003.98,3456.67,176484.01,,59800.62,35279456.14,71059309.01,2311582,,61958750.52,22393970.92,4285934.37,,160549.25,9488988.24,2968018871.43
July,2014,FY 2014-15,,,,,,,42277.28,,,69855.85,,1330668,,,200296,8896414.52,543365.71,1238035.23,0,481742.96,,9910912.57,,941513.5,,513005.3,,,3782673.73,,122238.14,35761.11,428.42,966188.52,476691.03,2450.99,152965.81,,31466.42,,,,,,,,,142007.56,,29880958.65
August,2014,FY 2014-15,255315752.18,28771125.29,207285443.97,3085472.57,7535746.14,,296009.14,33808036.62,,152511.12,6664643.89,-1047097,105,966.39,10390.93,18537278.48,183094.54,2481000.74,0,364021.04,2265773.09,30293632.1,,1366078.51,,778251.19,12459387.5,126879.57,2512042.22,,45434.13,597211.49,0,0,486689.6,2826.29,164863.52,,283999.34,869619.74,213572,915,,31014243.71,11770751.81,78177.07,,112841.01,1420.29,658889110.22
September,2014,FY 2014-15,381751466.41,430962057.03,405779947.25,4065587.04,13392833.43,,215195.07,80520059.82,,862493.46,0,0,0,213.6,0,17973421.73,9020976.84,24313685.73,1923160,-1122.96,6609574.22,31853494.6,,938074.8,,128473.56,16938328.88,58825.24,3320706.38,,31713.16,294980.12,0,0,479919.57,3437.79,181525.84,,-374416.43,414951.44,0,844263,,30020191.23,11551337.83,3240705.81,,366902,42432.4,1477725395.89
October,2014,FY 2014-15,452304624.76,105800402.69,359243802.41,7546678.39,11973475.5,,197174.16,31092720.42,,68710.82,16377237,1413790,45663490.14,7439533.42,1812.72,8327242.73,7800.7,770693.78,0,101246.83,5628712.52,29554215.24,,586734.16,,463161.32,16391689.12,101469405.73,2472097.24,,148558.28,220462.42,0,841397.24,475971,3678,177849.01,,46808.69,28285035.73,73641317.5,1385028,,30678115.92,11888384.9,1428143.73,,157820.97,6885742.48,1361160765.67
November,2014,FY 2014-15,402872181.8,28195048.3,248651135.16,5532690.71,9372516.06,,-219799.1,13716577.63,,482367.32,685345.56,-511279.41,0,218628.27,0,8689094.72,572487.98,2325084.66,0,294216.59,2873350.49,26254675.11,,914280.81,,2607727.84,13662993.4,4408771.78,1903631.32,,46025.94,152111.74,0,0,474389.03,1249.31,135322.21,,219411.68,6787061.55,-2767844.61,440745,,30940075.13,12009010.38,325761.58,,166221.07,641545.89,823072812.9
December,2014,FY 2014-15,530796063.03,316910593.33,424072032.94,3341467.1,10761062.52,,338654.78,103249102.89,,534866.93,22571.88,0,0,0,0,20730532.1,9216821.4,24767632.17,1464927,186415,8262395.58,33835771.1,,864327.1,,250868.44,12876094.55,1341982.03,2925014.38,,51900.62,2474460.28,0,0,360961.17,1108.05,199587.11,,15167.32,116801.32,133810,404743,,29155752.76,10940223.13,3164841.45,,216459.71,0,1553985012.17
January,2015,FY 2014-15,546226274.72,582472963.92,334711041.77,9918440.37,6317259.54,,607522.29,16319025.8,,78023.69,14086917,1448972,17227724.2,10369220.86,0,11259315.95,-13946,725837.27,0,675729.84,3800687.7,25560748.42,,942973.49,,106598.51,12247017,70291880.69,2748453.03,,95222.42,4792334.85,16245,586717.14,447735.42,3046.33,160588.28,,5908.93,18225726.79,59692784,1060533,,30467574.91,10916002.85,1231115.63,,171176.27,5119484.25,1801120878.13
February,2015,FY 2014-15,508486802.79,35332601.72,367645346.98,6512910.4,8087080.29,,1929035.51,23009980.65,,99363.24,2166750.79,141960,11109828,4940786.36,0,7289419.27,1813843,11330525.56,11016,1782079.9,4299964.78,22773821.23,,778008.56,,784347.9,9551372.44,15630101.26,4775973.18,,98383.2,361218.88,198733.9,0,382777,5788.29,173504.43,,29707.3,17346429.76,10410921,753803,,29666354.08,10889476.61,367116.08,,126067.34,989293.06,1122082493.74
March,2015,FY 2014-15,613078989.72,119115390.12,294029092.19,3143627.32,7994243.02,,16538599.61,170427304.49,,178035.22,0,0,0,0,0,8867586.35,9844879.15,37020379.38,1153094,2074385,6326034.25,28997343.97,,850012.44,,168312,10319218.67,381216.95,3633836.2,,14219.12,210442.94,12018.03,0,339141.48,13025.06,153035.46,,22958.05,796999.34,5032850,373234,,26349076.14,10597175.38,2709919.38,,141436.86,27992.33,1380935103.62
April,2015,FY 2014-15,488294012.56,1422690402.24,338591956.76,7726536.86,8858212.24,,13692796.8,45362556.83,,189541.96,15062647,3425090,45314377.75,25380364.91,20,31529210,-443222.05,648054.07,524.05,34496.9,4618689.77,24845949.73,,880625.63,,122142.56,11197479.69,52166375.97,3742050.79,,85160.29,140793.22,9511.5,952868.08,453365.08,4568.84,177335.53,,150143.57,27410252.08,72714551.32,1021482,,30268563.52,10631881.81,1865341.11,,155877.5,7080973.47,2697053561.94
May,2015,FY 2014-15,400562601.6,65387345.93,324903112.28,5968554.94,9259595.01,,9558117.28,24605090.48,,587857.5,3241855.49,-3167474,374777,778246.28,0,14147703.06,1432671.02,3187389.32,0,352844.41,2532768.37,31104202.25,,962363.11,,51636.2,15051416.02,6053199.75,3138716.96,,80469.29,71061.8,134.24,107074.05,424717.39,5230.5,150166.59,,60769.77,10033435.25,4041767,728262,,29098229.95,10999709.45,488273.94,,121933.21,504658.81,976990483.5
June Final,2015,FY 2014-15,980913766.09,452438386.48,724114893.3,14137399.29,22726977.33,,721607.47,223995466.27,,1411923.33,15618000,0,24925000,12151000,60,20515908.22,11873475.88,34900300.53,1752205,8187.58,14393986.37,52872548.54,,822424.08,,3084457.52,46201117.45,85974852.59,3651248.34,,14610.13,57041.84,120,0,430623.8,4568.39,153021.45,,74995.8,35887185.56,76947000,1761004,,63786900.22,23902426.79,4148959.7,,166313.25,9306203.34,2965846165.93
July,2015,FY 2015-16,,,,,,,605550.22,,,5244.26,,3310863,,,253629,48134098.99,750,111333.51,-524.05,139368.91,,10383514.7,,1006632.46,,23783.15,,,3927867.62,,156178.41,35235.63,50.4,758525.44,495911.39,4842.74,222867.36,,39894.6,,,,,,,,,145913.5,,69761531.24
August,2015,FY 2015-16,257164670.52,38130234.82,336608457.49,2827542.54,12161381.6,,533564.41,14242182.02,,112206.92,132113.9,-585866.96,719.22,982.47,0,14298587.99,-114291.2,2508791.36,0,863152.76,4953851.39,30355383.74,,1040887.86,,61202,11268621.14,7796.91,3221583.27,,53790.37,32646.78,0,0,514652.82,1486.61,139728.7,,32119.72,1468411.12,1125014,378356,,31387537.94,11482545.81,7535.2,,122457.32,6425.19,776546463.75
September,2015,FY 2015-16,404434045.23,447724712.93,325667792.71,2533298.17,11636208.2,,1353445.98,99970944.42,,427648.51,0,0,0,0,0,16158701.69,7321765.95,21761499.86,1134803,0,4484755.48,32716557.98,,916529.06,,343488.89,19593595.74,96527.98,2460483.04,,13621.34,23994.34,793,12.96,492479.63,1541.88,124987.18,,64617.23,831490.15,0,376009,,32933890.9,11113122.48,2486955.86,,343659.6,11274.8,1449555255.17
October,2015,FY 2015-16,439544223.84,113818775.4,357240062.76,9916353.66,11221250.83,,721618.81,24625063.89,,171948.97,13485058.23,3256752,35817684.54,7263601.37,73.4,12283979.91,30735.6,483550.92,0,4268.84,3351630.11,31172636.01,,1008603.29,,869536.13,14836931.29,43619647.72,2011858.98,,101490.9,34545.68,0,772296.96,492702.05,1796.71,144539.64,,77304.84,24524007.17,119619489,777372,,30840659.93,11142754.97,1613403.52,,167938.5,6485314.97,1323551463.34
